example_id                                                         | status | run_time        |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:1:3] | passed | 0.10676 seconds |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:1:4] | passed | 0.07071 seconds |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:2:1] | passed | 0.08861 seconds |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:3:1] | passed | 0.14938 seconds |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:4:1] | passed | 0.10522 seconds |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:5:1] | passed | 0.09757 seconds |
./spec/features/workflow/contract_approval_workflow_spec.rb[1:6:1] | passed | 0.13139 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:1:1:1]               | passed | 0.06977 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:1:2:1]               | passed | 0.07059 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:2:1]                 | passed | 0.05119 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:2:2]                 | passed | 0.05158 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:2:3]                 | passed | 0.05272 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:2:4]                 | passed | 0.05435 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:3:1]                 | passed | 0.04188 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:3:2]                 | passed | 0.04413 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:3:3]                 | passed | 0.04928 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:3:4]                 | passed | 0.0573 seconds  |
./spec/jobs/retention_processor_job_spec.rb[1:4:1]                 | passed | 0.04078 seconds |
./spec/jobs/retention_processor_job_spec.rb[1:5:1]                 | passed | 0.079 seconds   |
./spec/jobs/sla_check_job_spec.rb[1:1:1:1]                         | passed | 0.05961 seconds |
./spec/jobs/sla_check_job_spec.rb[1:1:1:2]                         | passed | 0.04876 seconds |
./spec/jobs/sla_check_job_spec.rb[1:1:1:3]                         | passed | 0.05516 seconds |
./spec/jobs/sla_check_job_spec.rb[1:1:1:4]                         | passed | 0.04692 seconds |
./spec/jobs/sla_check_job_spec.rb[1:1:2:1]                         | passed | 0.04562 seconds |
./spec/jobs/sla_check_job_spec.rb[1:1:3:1]                         | passed | 0.0451 seconds  |
./spec/jobs/sla_check_job_spec.rb[1:1:4:1]                         | passed | 0.04317 seconds |
./spec/jobs/sla_check_job_spec.rb[1:1:5:1]                         | passed | 0.02132 seconds |
